TournamentID,PlayerID,PlayerStrategy,PlayerScore,PlayerWinRate,PlayerLossRate,PlayerTieRate
1,P1,AllC,2.376,0.26666666666666666,0.6,0.13333333333333333
1,P2,AllD,2.2393333333333336,0.5333333333333333,0.3333333333333333,0.13333333333333333
1,P3,RAND,2.3526666666666665,0.4666666666666667,0.4666666666666667,0.06666666666666667
1,P4,TFT,2.403333333333333,0.26666666666666666,0.4666666666666667,0.26666666666666666
1,P5,TFTT,2.35,0.13333333333333333,0.6666666666666666,0.2
1,P6,TTFT,2.2953333333333332,0.4,0.4,0.2
1,P7,FBF,2.386,0.4666666666666667,0.3333333333333333,0.2
1,P8,STFT,2.233333333333334,0.4,0.4666666666666667,0.13333333333333333
1,P9,HTFT,2.387333333333333,0.6,0.2,0.2
1,P10,RTFT,2.2813333333333334,0.5333333333333333,0.4666666666666667,0.0
1,P11,GRIM,2.538,0.8,0.13333333333333333,0.06666666666666667
1,P12,SGRIM,2.2386666666666666,0.5333333333333333,0.4666666666666667,0.0
1,P13,GRAD,2.4699999999999998,0.4666666666666667,0.3333333333333333,0.2
1,P14,PAV,2.4279999999999995,0.3333333333333333,0.5333333333333333,0.13333333333333333
1,P15,SM,2.277333333333333,0.4,0.5333333333333333,0.06666666666666667
1,P16,HM,2.428,0.3333333333333333,0.5333333333333333,0.13333333333333333
2,P1,AllC,2.304,0.06666666666666667,0.8666666666666667,0.06666666666666667
2,P2,AllD,2.1873333333333336,0.6666666666666666,0.26666666666666666,0.06666666666666667
2,P3,RAND,2.2933333333333334,0.4,0.5333333333333333,0.06666666666666667
2,P4,TFT,2.4826666666666664,0.5333333333333333,0.3333333333333333,0.13333333333333333
2,P5,TFTT,2.393333333333333,0.13333333333333333,0.6666666666666666,0.2
2,P6,TTFT,2.27,0.3333333333333333,0.4666666666666667,0.2
2,P7,FBF,2.3633333333333337,0.3333333333333333,0.6,0.06666666666666667
2,P8,STFT,2.232,0.4666666666666667,0.4,0.13333333333333333
2,P9,HTFT,2.352,0.6,0.13333333333333333,0.26666666666666666
2,P10,RTFT,2.313333333333333,0.5333333333333333,0.4,0.06666666666666667
2,P11,GRIM,2.3246666666666664,0.8,0.06666666666666667,0.13333333333333333
2,P12,SGRIM,2.3746666666666667,0.26666666666666666,0.4666666666666667,0.26666666666666666
2,P13,GRAD,2.429333333333333,0.5333333333333333,0.3333333333333333,0.13333333333333333
2,P14,PAV,2.2766666666666664,0.3333333333333333,0.5333333333333333,0.13333333333333333
2,P15,SM,2.3620000000000005,0.2,0.4666666666666667,0.3333333333333333
2,P16,HM,2.3106666666666666,0.6666666666666666,0.3333333333333333,0.0
3,P1,AllC,2.4786666666666672,0.2,0.5333333333333333,0.26666666666666666
3,P2,AllD,2.326,0.7333333333333333,0.26666666666666666,0.0
3,P3,RAND,2.1306666666666665,0.4,0.5333333333333333,0.06666666666666667
3,P4,TFT,2.336,0.4666666666666667,0.4666666666666667,0.06666666666666667
3,P5,TFTT,2.424666666666667,0.13333333333333333,0.8,0.06666666666666667
3,P6,TTFT,2.4699999999999998,0.3333333333333333,0.4,0.26666666666666666
3,P7,FBF,2.3906666666666667,0.2,0.5333333333333333,0.26666666666666666
3,P8,STFT,2.2726666666666664,0.4,0.4666666666666667,0.13333333333333333
3,P9,HTFT,2.376666666666666,0.6666666666666666,0.2,0.13333333333333333
3,P10,RTFT,2.3233333333333333,0.6666666666666666,0.26666666666666666,0.06666666666666667
3,P11,GRIM,2.328,0.5333333333333333,0.26666666666666666,0.2
3,P12,SGRIM,2.3400000000000007,0.6,0.3333333333333333,0.06666666666666667
3,P13,GRAD,2.4093333333333335,0.4666666666666667,0.4666666666666667,0.06666666666666667
3,P14,PAV,2.458666666666667,0.6,0.2,0.2
3,P15,SM,2.3853333333333335,0.3333333333333333,0.5333333333333333,0.13333333333333333
3,P16,HM,2.2646666666666664,0.26666666666666666,0.7333333333333333,0.0
4,P1,AllC,2.3966666666666665,0.2,0.7333333333333333,0.06666666666666667
4,P2,AllD,2.296666666666667,0.6666666666666666,0.26666666666666666,0.06666666666666667
